zgh_verbe	en_meaning
ⴷⵙⵜⵔ	constitutionalize
ⴷⵡⵍ	become
ⴷⵡⵍ	come back, go back (over there)
ⴷⵡⵡⵃ	rocker
ⴷⵡⵡⵅ	scared of heights
ⴷⵡⵡⵅ	vanish
ⴷⵡⵡⵙ	go and come
ⴷⵡⵡⵙ	peddle
ⴷⵢⵢⵣ	speak wrongly and through
ⴷⵢⵢⵣ	to speak well
ⴹⴱⴱⵕ	cope
ⴹⴱⴱⵕ	find, find
ⴹⴱⵍ	to lose weight
ⴹⴱⵕ	hurt (by friction)
ⴹⴱⵥ	to be fat
ⴹⴳⵥ	torture
ⴹⴹⵓⴹⵉ	sound, resonate
ⴹⴹⵓⵕⴹⵕ	be deaf
ⴹⴼⵉ	Coat, dirty (soft or viscous product (péj.))
ⴹⴼⵕ	continue
ⴹⴼⵕ	duty a debt
ⴹⴼⵕ	tab
ⴹⴼⵚ	bend
ⴹⵀⵕ	seem to appear
ⴹⵀⵚ	awkward
ⴹⵉ	extract, extract
ⴹⵉ	hunt, continue
ⴹⵉ	solve a problem)
ⴹⵉⵡ	wander
ⴹⵍⵍⵚ	be embroidered
ⴹⵍⵓ	be black
ⴹⵍⵓ	be wet, wet
ⴹⵎⵎⵍ	slap
ⴹⵎⵎⵛ	slap
ⴹⵎⵏ	to guarantee
ⴹⵏⵉ	be big, thick
ⴹⵏⵥ	ly in a sneaky way
ⴹⵏⵥ	make fun of someone subtly
ⴹⵓ	fly, fly away
ⴹⵓⴼ	keep, monitor
ⴹⵓⵅⵎⵚ	have bumps, be bruised
ⴹⵓⵇⵇⵥ	explode
ⴹⵓⵕ	be surrounded
ⴹⵓⵕ	turn around
ⴹⵕ	to come down
ⴹⵕ	to fall
ⴹⵕⴹⵇ	detonate, burst
ⴹⵕⴹⵇ	slam
ⴹⵕⵀ	mute
ⴹⵕⵏ	rotate
ⴹⵕⵏ	to spill
ⴹⵕⵕⴼ	be nice, kind
ⴹⵕⵕⵄ	explore
ⴹⵕⵕⵄ	cry, sobbing
ⴹⵕⵕⵚ	cringing teeth, annoying your teeth
ⴹⵕⵕⵚ	graze
ⴹⵕⵥ	Cover a terrace, a roof
ⴹⵚⵕ	be not very serious
ⴹⵚⵚⴰ	laugh
ⴹⵚⵚⴰ	mock
ⴹⵡⵡⵕ	turn
ⴼⴰ	yawn
ⴼⴰⴷⵉ	suppurate
ⴼⴰⴼⴰ	dash
ⴼⴰⴼⴰ	look for
ⴼⴰⴼⴰ	wake
ⴼⴰⴽⵚⵉ	fax
ⴼⴰⵔⵔⵉ	fly, fly away
ⴼⴰⵕⵥⵥⴰ	jump
ⴼⴰⵙⵔ	interpret
ⴼⴰⵚⵍ	agree, arrange
ⴼⴰⵜⵔ	to invoice
ⴼⴰⵡ	be transparent
ⴼⴰⵡ	get up (day)
ⴼⴹⴹⵓ	Finish, finish
ⴼⴹⵓ	Finish, finish
ⴼⴼⴰⵢⵔⵔ	steal
ⴼⴼⵉ	Pour, be poured
ⴼⴼⵉⵖⵙ	cracked
ⴼⴼⵓ	Power (day, sun)
ⴼⴼⵓ	be in the morning
ⴼⴼⵓⴷ	to be thirsty
ⴼⴼⵓⴽⵙ	Show address, intelligence
ⴼⴼⵓⴽⵙ	to exceed the limits
ⴼⴼⵓⵔⵙ	be chapped (hands, lips, etc.)
ⴼⴼⵓⵙ	can not
ⴼⴼⵔ	hide, hide, hide
ⴼⴼⵔⵙⵉ	break up, be fragmented
ⴼⴼⵔⵙⵍ	be chapped (hands, lips, etc.)
ⴼⴼⵖ	appear
ⴼⴼⵖ	go out
ⴼⴼⵥ	to chew
ⴼⴽ	give, attribute, provide, put back
ⴼⴽⵕⴹ	wad in the blood
ⴼⵀⵎ	to understand
ⴼⵅⵙ	split
ⴼⵇⵄⴰ	to get angry
ⴼⵉ	suppurate
ⴼⵉⴷⵉ	be bruised, flayed (by friction)
ⴼⵉⵇⵇⵙ	cracked
ⴼⵉⵔⵔⵉ	steal
ⴼⵉⵢⵢⵛ	boast
ⴼⵊⵊⵉⵊ	be good, feel good
ⴼⵍ	leave, abandon
ⴼⵍⴳⵍⴳ	flare (intr.)
ⴼⵍⵓ	chopping wood
ⴼⵍⵓⴼⵍ	be exasperated
ⴼⵍⵓⴼⵍ	overflow (liquid)
ⴼⵍⵓⴼⵍ	skim (intr.), foam
ⴼⵍⵓⴼⵍⵓ	mirroy
ⴼⵍⵓⴼⵓ	boil
ⴼⵍⵙ	trust
ⴼⵍⵢ	crack
ⴼⵍⵢ	operate, be operated on
ⴼⵍⵢ	tear, tear yourself away
ⴼⵏⴻⵏ	bud
ⴼⵏⴼⵕ	be smeared
ⴼⵏⵏⵛ	cringe
ⴼⵏⵓ	annihilate
ⴼⵏⵥ	decrease, lower
ⴼⵓⴳ	yawn
ⴼⵓⴷⵉ	to flow
ⴼⵓⴽⴽⵓ	issue
ⴼⵓⴽⴽⵓ	to end
ⴼⵓⵍⴽⵉ	to be beautiful
ⴼⵓⵍⴽⵉ	to be good
ⴼⵓⵍⵍⴹ	be engulfed
ⴼⵓⵍⵜⵓ	intermingle
ⴼⵓⵍⵜⵓ	be confused, confused
ⴼⵓⵏⵣⵔ	nose bleed
ⴼⵓⵔⴷⵓ	be slightly crushed
ⴼⵓⵛⵛⴹ	be awkward
ⴼⵓⵛⵛⴹ	be engulfed
ⴼⵔ	peel, scrap
ⴼⵔⴳ	enclosed by a hedge
ⴼⵔⴳ	protect
ⴼⵔⴷ	eg greedy
ⴼⵔⴷ	graze
ⴼⵔⴼⵔ	fly, fly, fly away
ⴼⵔⴽ	foreseen
ⴼⵔⴽ	realize
ⴼⵔⵉⵔⵔⵙ	Welcome, warmly greet
ⴼⵔⵉⵔⵙ	to bend
ⴼⵔⵏ	to sort
ⴼⵔⵏⵙ	smile
ⴼⵔⵓ	explain
ⴼⵔⵓ	pay, pay
ⴼⵔⵓⴽⴽⵉ	divide into
ⴼⵔⵓⵔⴷ	graze
ⴼⵔⵓⵔⵅ	hatch
ⴼⵔⵓⵔⵉ	Figure, crumble, be gonnae
ⴼⵔⵔⵄ	Open, be open
ⴼⵔⵔⵣ	prove, demonstrate
ⴼⵔⵔⵣ	talk about
ⴼⵔⵖ	be dishonest
ⴼⵔⵖ	be twisted
ⴼⵔⵙ	Cut, prune, swallow
ⴼⵔⵙ	be sharp
ⴼⵔⵙⵍ	have a chapter
ⴼⵔⵛⵅ	divide into
ⴼⵔⵜⵃ	go fast, go away
ⴼⵕⴹ	sweep, clean, clean
ⴼⵕⵕⵊ	look with curiosity
ⴼⵕⵕⵊ	watch a show
ⴼⵕⵚⴹ	Malle, brutalize
ⴼⵙⵉ	flourish (flower)
ⴼⵙⵉ	to melt
ⴼⵙⵉ	undo, unravel
ⴼⵙⵉⵙ	be light
ⴼⵙⵉⵙ	frivolize
ⴼⵙⵍ	unravel
ⴼⵙⵓ	bud
ⴼⵙⵓ	disadvantage
ⴼⵙⵓ	grow, push, flourish
ⴼⵙⵔ	Expose, be exposed
ⴼⵙⵔ	spread out
ⴼⵙⵜ	to shut up
ⴼⵛⴷ	present their condolences
ⴼⵛⵃ	be capricious, be spoiled (child)
ⴼⵜⴰⵜⵍ	to shiver
ⴼⵜⵃ	to swim
ⴼⵜⵉ	to conjugate
ⴼⵜⵍ	Brass, Corder
ⴼⵜⵍ	ride the semolina
ⴼⵜⵓ	In the Inaccompted: Walking
ⴼⵜⵓ	go, go away, leave
ⴼⵜⵓⵜⵉ	crumble
ⴼⵜⵓⵜⵉ	swarm to be full of
ⴼⵜⵓⵜⵜⵙ	Faner, withered (plant or flower)
ⴼⵜⵙ	scatter
ⴼⵡⵡⵕ	Cook, steamed
ⴼⵡⵡⵕ	evaporate
ⴼⵥⵥ	to chew
ⴽⴰⴽⵍ	walk in the footsteps, chase
ⴽⴰⵎⴷ	be careful, take an interest
ⴽⴹⵓ	smell
ⴽⴹⵓ	sniff
ⴽⴼ	give, attribute, endow
ⴽⴼ	to put back
ⴽⴼⴹ	own
ⴽⴼⴹ	to feed
ⴽⴼⵏ	bury
ⴽⴼⵔⵓⵔⵉ	crumble
ⴽⴽ	came from
ⴽⴽ	pass
ⴽⴽ	to visit
ⴽⴽⴹ	blind
ⴽⴽⴻⴽ	crack
ⴽⴽⵉⵍ	curdle
ⴽⴽⵓⵍ	fear (an authority)
ⴽⴽⵓⵍ	make the case
ⴽⴽⵓⵍ	worry about
ⴽⴽⵓⵎⵎⵅ	cower
ⴽⴽⵓⵙ	to inherit
ⴽⴽⵓⵙⵓ	to inherit
ⴽⴽⵓⵜⵜⵔ	be alert, awake
ⴽⴽⵔ	germinate (germinate)
ⴽⴽⵔ	rise
ⴽⴽⵔ	stand up
ⴽⴽⵙ	Remove, remove, remove
ⴽⴽⵙ	confiscate
ⴽⴽⵙ	to tear out
ⴽⴽⵛⵜⵓ	tip
ⴽⴽⵯⵎ	grind
ⴽⴽⵯⵎ	pound
ⴽⴽⵯⵎ	to beat
ⴽⴽⵯⵔ	peck
ⴽⴽⵯⵔ	to click
ⴽⵀⵎ	to notice
ⴽⵄⴱⵏ	moldy
ⴽⵉⴽⴽⴹ	be tickled
ⴽⵉⵙ	be alert
ⴽⵉⵙ	be mischievous
ⴽⵊⵎ	walk in
ⴽⵍ	spend the day
ⴽⵍⴼⵍⴼ	tighten
ⴽⵍⵉⴽⵉ	to click
ⴽⵍⵓ	be colored
ⴽⵍⵓ	black
ⴽⵍⵓ	color
ⴽⵍⵓⵍⴼ	be caressed
ⴽⵍⵙ	dry the meat
ⴽⵍⵙ	to cut
ⴽⵍⵜⵓ	Waddle
ⴽⵍⵜⵓ	to dance
ⴽⵎⴹ	burn, be burned
ⴽⵎⵉ	to smoke
ⴽⵎⵎⵍ	Finish, finish, finish, complete
ⴽⵎⵎⵍ	be over
ⴽⵎⵎⵙ	pack
ⴽⵎⵓ	to smoke
ⴽⵎⵓⵎⵎⵛ	be a ratatored
ⴽⵎⵓⵎⵎⵛ	cower
ⴽⵎⵙ	sew in hand
ⴽⵎⵙ	tie in a fabric
ⴽⵎⵣ	pinch
ⴽⵎⵣ	scratch
ⴽⵏ	arrange
ⴽⵏ	be correct
ⴽⵏ	to be beautiful
ⴽⵏⴷ	despise
ⴽⵏⴷⵔ	breathe
ⴽⵏⴼ	toast, roast
ⴽⵏⴽⵔ	gnaw
ⴽⵏⵓ	be curled, tilted, leaning
ⴽⵏⵓⵏⵏⵉ	Roll, Roulades (make Des-)
ⴽⵏⵓⵏⵏⵉ	to fall
ⴽⵏⵥⴻⵥ	groan
ⴽⵓⴷⴷⴰ	to cook
ⴽⵓⴼⴹ	be nourished other than with his mother's milk
ⴽⵓⴽⴹ	be fragile
ⴽⵓⴽⴽⵔ	be covered with pimples
ⴽⵓⵏⵣⵔ	nose bleed
ⴽⵓⵙⵎ	be salted
ⴽⵓⵛⵎ	paralyze
ⴽⵓⵡ	dehydrate
ⴽⵓⵢⴻⵢ	make efforts, persevere
ⴽⵔⴰ	to rent out
ⴽⵔⴱⵍ	Book, Biner
ⴽⵔⴼ	Direct, tie, be attached, tied up
ⴽⵔⴼ	paralyze, be paralyzed
ⴽⵔⴽⵔ	pile up the stones
ⴽⵔⵉ	reduce, decrease
ⴽⵔⵉⵔⵉ	hang
ⴽⵔⵉⵔⵓ	hang out
ⴽⵔⵎ	chill
ⴽⵔⵎ	fold over
ⴽⵔⵎ	sway
ⴽⵔⵎⵔⵎ	be rooted
ⴽⵔⵓ	to rent out
ⴽⵔⵔⴷ	be armed
ⴽⵔⵙ	tie
ⴽⵔⵛⴷ	scare
ⴽⵔⵡⵉ	gallop
ⴽⵔⵣ	plow
ⴽⵕⴹ	comb
ⴽⵕⴹ	scrape
ⴽⵕⴼⴹ	steal
ⴽⵕⴽⴹ	spell
ⴽⵕⵓⵕⵥ	be tight
ⴽⵕⵥ	to squeeze
ⴽⵙ	graze
ⴽⵙⵉ	Adapt (neo.)
ⴽⵙⵉ	carry
ⴽⵙⵉ	raise
ⴽⵙⵉ	take
ⴽⵙⵉⵍ	Haleter, blow
ⴽⵙⵏ	hate
ⴽⵙⵙⵉⵙ	be fragile
ⴽⵛⴽⵛ	To get angry
ⴽⵛⴽⵛ	foam
ⴽⵛⵎ	enter
ⴽⵛⵎ	walk in
ⴽⵛⵛⴹ	strip, plunder
ⴽⵛⵛⴹ	to burglarize
ⴽⵜⵉ	Remember, remember
ⴽⵜⵉ	be fled (fire)
ⴽⵜⵔ	load
ⴽⵡⵉ	shake
ⴽⵢⴹ	quarrel
ⴽⵯⴼⵙ	sow
ⴽⵯⴼⵙ	sprinkle
ⴽⵯⵙⵉⵙ	be frightened
ⵀⴰⴼ	to be thirsty, to dress thirst
ⵀⴰⵢⴹ	insult
ⵀⴱⴹ	be in disarray
ⵀⴱⵛ	grab, eagerly grasp
ⵀⴹⵕ	to play
ⵀⵍⴽ	Be sick
ⵀⵍⵍⴻⵍ	sing religious songs, recite litanies
ⵀⵍⵓⵍⵍⵓ	to balance
ⵀⵎⵀⵎ	whisper
ⵀⵏⵏⴰ	calm down
ⵀⵏⵓⵏⵏⵉ	to roll
ⵀⵏⵜⴻⵜ	Beat, hit, rosser
ⵀⵏⵜⵔ	damage
ⵀⵏⵜⵔ	devour
ⵀⵓⵍ	worry about
ⵀⵓⵍⴻⵍ	be wild
ⵀⵔⴷ	Beat, hit, rosser
ⵀⵔⴷ	devour
ⵀⵔⵓ	be too mature, be blet
ⵀⵔⵓ	ignite
ⵀⵔⵓⴽⴽⵎ	be overflowed
ⵀⵔⵔ	tickle
ⵀⵔⵔⵎ	gnaw
ⵀⵔⵔⵓ	do well and fast
ⵀⵕⵓⵚⵚⵓ	to be tired
ⵀⵜⵔⴼ	rave
ⵀⵡⵓ	head toward
ⵀⵡⵓ	to come down
ⵀⵡⵡⵍ	tire, annoy
ⵀⵢⵢⵓ	be good, delicious
ⵀⵢⵢⵓ	to be friendly
ⵃⴰⴱⵔ	defend
ⵃⴰⴷⴰ	go along, walk along, with
ⵃⴰⴷⴰ	to touch
ⵃⴰⴷⵣ	approach
ⵃⴰⴷⵣ	take refuge
ⵃⴰⴹⵕ	be present, appear, appear
ⵃⴰⴽⴰ	discover
ⵃⴰⵃⴰ	wander
ⵃⴰⵔⴱ (-ⵅⴼ)	treat well
ⵃⴰⵔⴽⴰ	go to the military campaign
ⵃⴰⵔⵇ	insult
ⵃⴰⵕⵕⵓ	to hasten, to rush, to hurry
ⵃⴰⵛⴰ	to avoid
ⵃⴰⵛⴰ	to hate
ⵃⴰⵡⵇ	Melt on (bird)
ⵃⴰⵡⵍ	console, implore
ⵃⴰⵡⵍ	overdo it
ⵃⴰⵢⵣⵓⵣ	to balance
ⵃⴰⵣ	Discard, move away, move to give way
ⵃⴱⴹ	covered
ⵃⴱⴽ	be smooth
ⵃⴱⵓ	hide, hide
ⵃⴱⵓⴱⴱⴹ	covered
ⵃⴱⵓⵥⵥⵍ	lie down (péj.)
ⵃⴱⵔⵓⵔⵛ	Form small balls (fabric, wool)
ⵃⴳⵕ	despise, disdain
ⵃⴷⴰⵊⵊ	need
ⵃⴹⵓ	monitor, spy, take care of
ⵃⴼⴼⴻⴼ	cut the hair
ⵃⴼⴼⴻⴼ	style
ⵃⴼⵓ	be blurred, brought up (frame), worn out
ⵃⴼⵓⴼⵓ	be emptied
ⵃⴽⴽ	Coagulate, curd
ⵃⴽⴽⵔ	be careful
ⵃⵃⵉⴱⵔ	be insolent
ⵃⵃⵓⵢⴹ	be foolish, silly, crazy
ⵃⵃⵔⵡⵛ	picking up firewood
ⵃⵇⵇⴰ	Make sure, be sure
ⵃⵉⴷⵉ	go along, rub shoulders
ⵃⵉⴹⵕ	limp
ⵃⵉⵊⵊ	pilgrimage
ⵃⵉⵍ	spare, measure (do with measure)
ⵃⵉⵏ	to walk slowly
ⵃⵊⵎ	bail
ⵃⵊⵎ	circumcise
ⵃⵊⵎ	shave (skull or beard)
ⵃⵍⴱ	eat couscous with milk
ⵃⵍⵃⵍ	roll the couscous by watering it with water
ⵃⵍⵉⵍⵍⵙ	get close to someone
ⵃⵍⵍⴻⵍ	cajolate
ⵃⵍⵍⵊ	pound, grind
ⵃⵍⵍⵓ	delete
ⵃⵍⵍⵙ	build
ⵃⵍⵓ	Make (swallow a liquid by holding your breath)
ⵃⵍⵓ	be beneficial
ⵃⵍⵓ	be delicious
ⵃⵍⵓ	to be beautiful
ⵃⵍⵓⴱⴱⵥ	be obese
ⵃⵍⵓⵍⵍⴹ	slide
ⵃⵍⵓⵍⵍⵓ	oscillate, swing
ⵃⵍⵓⵕⴹ	be polite, polite
ⵃⵍⵓⵙⵙⵎ	go out or go in secret
ⵃⵍⵓⵛⵛⴹ	slide
ⵃⵍⵓⵜⵜⴼ	slide
ⵃⵍⵓⵥⴹ	Disfit, be diluted
ⵃⵎⵃⵎ	be impatient
ⵃⵎⵉⵎⵉ	jack
ⵃⵎⵍ	love, prefer
ⵃⵎⵎⵥ	Start, surround with both arms, embed
ⵃⵎⵓ	be hot, become hot
ⵃⵏⴹⵥ	Ruer, give a ruad
ⵃⵏⵃⵏ	Hennir (horse)
ⵃⵏⵊⴼ	make ways
ⵃⵏⵊⴼ	to boast
ⵃⵏⵏ	sympathize
ⵃⵏⵏⴹ	seize, hold strongly
ⵃⵏⵏⴽ	Coat, paint, color
ⵃⵏⵏⴽ	Salter, stain, mucrate
ⵃⵏⵏⵇ	be tight
ⵃⵏⵓⵏⵏⴹ	be wrapped
ⵃⵏⵓⵏⵏⵉ	Roll up, be rolled up
ⵃⵏⵜ	Do not hold your oath, perjure
ⵃⵏⵟⴻⵟ	respond with insolence, answer the tac to the tac
ⵃⵏⵥⴻⵥ	look at, look at the
ⵃⵓⴷⵓ	to come down
ⵃⵓⴷⵔ	bend, bow, lean
ⵃⵓⴼ	dash
ⵃⵓⴼ	go down the slope
ⵃⵓⴼ	to fall
ⵃⵓⵊⵊⵓ	pilgrimage
ⵃⵓⵏⵊⵔ	be cold
ⵃⵓⵏⵏⵔ	bow down
ⵃⵓⵔⵔⵛ	get one person against another
ⵃⵓⵕⵎⵓ	implore
ⵃⵓⵛ	dancing the ahouach
ⵃⵓⵛ	hunt (expel)
ⵃⵓⵛⵔ	be crippled, deprived of the use of a member
ⵃⵓⵢⵣ	miss, miss (one goal)
ⵃⵓⵣ	squeeze
ⵃⵓⵣ	to push
ⵃⵓⵥⵥⵕ	ask for forgiveness
ⵃⵓⵥⵥⵕ	console
ⵃⵓⵥⵥⵕ	to beg
ⵃⵔⴱ	shake, brutalize
ⵃⵔⴱⵍ	Work wool, weave wool blankets
ⵃⵔⴷ	be angry
ⵃⵔⴷ	to rub
ⵃⵔⴼ	hunt, expel
ⵃⵔⵇ	Vex, get angry, be upset, angry
ⵃⵔⵉ	conduct
ⵃⵔⵉ	grind, crush
ⵃⵔⵓⵔⴷ	crawl
ⵃⵔⵓⵔⵉ	liquefy, be diluted, fluid, viscous
ⵃⵔⵔⴱ	ventilate with a fan
ⵃⵔⵔⴼ	strap
ⵃⵔⵔⴼ	to cut
ⵃⵔⵔⵣ	Prohibit his wife from seeing foreigners (especially in his absence)
ⵃⵔⵔⵣ	Tighten a ribbon around the head
ⵃⵔⵡ	sweep
ⵃⵔⵡⵛ	pick up
ⵃⵕⵎ	Do not own, miss
ⵃⵕⵎ	be unlawful
ⵃⵕⵏ	be recalcitrant, refuse to move forward (frame), do not want to leave a place
ⵃⵕⵕⴱ	be erect, be tamed, be trained
ⵃⵕⵕⴱ	draw up, tame, train
ⵃⵕⵕⴼ	head toward
ⵃⵕⵕⵓ	be bitter
ⵃⵕⵕⵛ	excite, stir up (quarrel)
ⵃⵕⵛ	be rough, hard to the touch
ⵃⵕⵛ	be skillful, be intelligent
ⵃⵙⴷ	jealous, envy
ⵃⵙⵓ	learn by heart
ⵃⵙⵙⴻⵙ	spy
ⵃⵙⵙⴼ	have concerns, be concerned
ⵃⵙⵙⵎ	Drain, press to drain, express water
ⵃⵚⵍ	be caught
ⵃⵚⵕ	to prevent
ⵃⵛⵍⴼ	eagerly
ⵃⵛⵓ	Introduce, slide into
ⵃⵛⵛ	Mow (grass)
ⵃⵛⵛⵎ	be ashamed, to be shy
ⵃⵜⴰⵍ	ambush
ⵃⵜⴼ	take, seize
ⵃⵜⵉⵜⵉ	shiver
ⵃⵜⵉⵜⵉ	whisper
ⵃⵜⵉⵜⵔ	shiver
ⵃⵜⵉⵜⵔ	whisper
ⵃⵜⵍ	form a deposit, stay at the bottom
ⵃⵜⵜⴰ	burden
ⵃⵡⵡⴹ	row
ⵃⵡⵡⵇ	to tear out
ⵃⵡⵡⵚ	delight, unfairly appropriate
ⵃⵡⵡⵚ	walk, do tourism
ⵃⵢⵢⵃ	hunt
ⵃⵢⵢⵃ	yell
ⵃⵢⵢⵃ	whisk
ⵃⵢⵢⵍ	prepare, prepare
ⵃⵢⵢⵍ	to separate
ⵃⵢⵢⵕ	be embarrassed, worried
ⵃⵢⵢⵕ	trance
ⵃⵣⵣⵎ	prepare
ⵃⵣⵣⵎ	swallow
ⵃⵥⵥⴹ	undress, strip
ⵄⴰⴱⵕ	gallop
ⵄⴰⴼⵔ	provide efforts, tackle the task, strive
ⵄⴰⵇⵔ	have a lively discussion
ⵄⴰⵏ	to push
ⵄⴰⵏⴷ	stand up, brave
ⵄⴰⵔⵇ	be distant
ⵄⴰⵙⵇ	Straight, contradict
ⵄⴰⵟⵛ	to bite
ⵄⴰⵟⵟⵕ	Cut the road to someone
ⵄⴰⵟⵟⵕ	go to meet someone
ⵄⴰⵡⵏ	to help
ⵄⴰⵢⴷ	come back
ⵄⴱⴱⵥ	take up
ⵄⴱⴱⵥ	to crush
ⵄⴱⴷ	God (God)
ⵄⴱⵇ	be polluted (atmosphere)
ⵄⴱⵓⴱⴱⵣ	grow, gain weight
ⵄⴱⵕ	weigh, measure
ⵄⴱⵥ	to crush
ⵄⴱⵥ	to lean on
ⵄⴱⵥ	trample
ⵄⴳⵣ	Lasting, being lazy
ⵄⴷⴰ	pass (in time), go through, exceed
ⵄⴷⴷⵓ	be abundant
ⵄⴷⴷⵔ	fall in fall as a fallow
ⵄⴷⵍ	arrange, repair
ⵄⴷⵍ	be suitable
ⵄⴷⵍ	prepare
ⵄⴷⵎ	deteriorate
ⵄⴷⵎ	lose yourself
ⵄⴷⵎ	to get dirty
ⵄⴷⵓ	pass (in time), go through, exceed
ⵄⴹⵕ	be infirm
ⵄⴹⵕ	be reached by a skin disease
ⵄⴼⴼⴰ	to be disgusted
ⵄⴼⴼⴰ	to hate
ⵄⴼⴼⵕ	be haughty
ⵄⴼⵏ	be disgusting, dirty
ⵄⴼⵓ	Heal (God)
ⵄⴼⵙ	trample, walk on
ⵄⴽⴽⴼ	put a scarf on your head
ⵄⴽⴽⵕ	to joke
ⵄⴽⴽⵙ	oppose, stand up
ⵄⴽⴽⵯⵏ	trample, walk on
ⵄⴽⵔⵛ	be reluctant
ⵄⵄⵏⵚⴹ	to sneeze
ⵄⵄⵓⴼⴼⵏ	Hug, become ugly
ⵄⵄⵓⵔⵛ	inflate
ⵄⵄⵓⵣⵔⵉ	stay single
ⵄⵄⵔⴱⵊ	someone
ⵄⵇⴱ	come back, go back, leave
ⵄⵇⵍ	Knowing, understanding
ⵄⵇⵍ	Remember, remember
ⵄⵉⴼⴼ	to be disgusted
ⵄⵉⴼⴼ	to hate
ⵄⵉⵡⵕⴹ	Make a false oath, perjure
ⵄⵊⴱ	to please
ⵄⵊⵊⴱ	Surprising, being surprised, surprised
ⵄⵊⵏ	walk on
ⵄⵍⵄⵍ	grumble
ⵄⵍⵄⵍ	stun
ⵄⵍⵎ	inform, warn, notify
ⵄⵍⵓⵍⵍⵇ	to climb
ⵄⵍⵓⵍⵍⵓ	oscillate
ⵄⵍⵓⵍⵍⵓ	to balance
ⵄⵎⵎⴷ	count on
ⵄⵎⵎⴷ	rely on
ⵄⵎⵎⴷ	let it go, pretend to ignore
ⵄⵏⴳⵔ	Stake, take a haughty air
ⵄⵏⴳⵕ	Strag, bomber the torso
ⵄⵏⴼⵊ	spoil, damage, damage
ⵄⵏⵇ	Do not reach, lose hope
ⵄⵏⵓ	Being, going (condition)
ⵄⵏⵓ	think
ⵄⵏⵚⵕ	Form, appear (source)
ⵄⵓⴱ	Know yourself, know, have experience
ⵄⵓⴷⴷⴰ	go as best as possible
ⵄⵓⵇⵇ	To vomit
ⵄⵓⵎ	bathe, float
ⵄⵓⵔⵔⵎ	be brave
ⵄⵔⵇⴱ	sacrifice an animal in honor of a saint
ⵄⵔⵎ	count on
ⵄⵔⵎ	to get used to
ⵄⵔⵔⵛ	put yourself up, on a raised place
ⵄⵔⵔⵛ	stand up
ⵄⵕⴹ	invite
ⵄⵕⵕⵎ	be disabled not be able to move
ⵄⵕⵕⵎ	be piled up
ⵄⵕⵕⵎ	pile up
ⵄⵙⵙⵍ	fall abundantly (snow)
ⵄⵙⵙⵍ	pile up
ⵄⵙⵙⵍ	take
ⵄⵚⵓ	disobey, revolt
ⵄⵚⵓ	to be tough
ⵄⵚⵚⵎ	tighten
ⵄⵚⵚⵎ	to be dynamic
ⵄⵛⵛⵏ	dirty, be dirty
ⵄⵛⵛⵕ	Take, pay for the chaplain
ⵄⵜⴳ	be vigorous
ⵄⵜⵇ	save
ⵄⵟⵟⵕ	delay
ⵄⵡⵡⴳ	cry loudly, howl
ⵄⵡⵡⴹ	have a nice size
ⵄⵡⵡⴹ	swallow
ⵄⵡⵡⴼ	have a snack
ⵄⵡⵡⵊ	be deformed
ⵄⵡⵡⵍ	count on
ⵄⵡⵡⵏ	to take some fresh air
ⵄⵢⴰⵕ	to play
ⵄⵢⵢⴱ	Criticize (negatively)
ⵄⵢⵢⴷ	Celebrate the Eid Festival
ⵄⵢⵢⴹ	yell
ⵄⵢⵢⵏ	aim (gaze), locate
ⵄⵢⵢⵏ	take the evil
ⵄⵣⵣ	Being dear to
ⵄⵣⵣⴱ	temporarily camping, summarizes the herds
ⵄⵣⵣⴼ	dust
ⵄⵣⵣⵎ	incantations
ⵄⵥⵥⵕ	accentuate (mark with an accent)
ⵄⵥⵥⵕ	mock
ⵅⴳⴳⵍ	sting
ⵅⴷⵎ	be executed
ⵅⴷⵎ	operate, walk
ⵅⴷⵎ	work
ⵅⵅⵉ	defecate
ⵅⵉⴹ	be odd
ⵅⵍⵍⵚ	pay
ⵅⵍⵍⵚ	to be paid
ⵅⵍⵓ	demolish
ⵅⵎⵎⴻⵎ	reflect
ⵅⵎⵎⵕ	joke, play
ⵅⵓⴱ	be unhappy
ⵅⵙ	to desire
ⵅⵙ	to like
ⵅⵙ	want to
ⵅⵙⵉ	go out
ⵅⵚⵚ	to lack
ⵅⵚⵚ	to need
ⵅⵛⵏ	be bad
ⵅⵜⵍ	to be fowarding something
ⵅⵡⵓ	be empty
ⵅⵣⵣⵔ	look down
ⵇⴰⴱⵍ	to take care of
ⵇⴰⴱⵍ	to watch
ⵇⴰⴱⵍ	watch
ⵇⴰⵇⴰ	cackle
ⵇⴰⵇⴰ	to tremble with fear
ⵇⴰⵍ	leave alone, don't disturb
ⵇⴰⵍ	turn over a transaction
ⵇⴰⵎ	prepare (tea)
ⵇⴰⵛⵛⵔ	dry off
ⵇⴰⵛⵛⵔ	paralyze
ⵇⴰⵡⵍ	to promise
ⵇⴱⴱⴹ	joke, tease, have fun
ⵇⴱⴱⵙ	to catch
ⵇⴱⵓⴱⴱⵣ	to gain weight
ⵇⴱⵛ	scratch
ⵇⴷⴷⴻⴷ	Cut the meat into small pieces
ⵇⴷⴷⵃ	container
ⵇⴷⴷⵃ	get drunk
ⵇⴷⴷⵔ	assess, estimate
ⵇⴷⴷⵛ	dive
ⵇⴷⴷⵛ	seduce, convince
